"";"date";"number of shootings"
"443";"2016-04-20";2
"444";"2016-04-21";1
"445";"2016-04-22";2
"446";"2016-04-23";5
"447";"2016-04-25";1
"448";"2016-04-26";4
"449";"2016-04-27";3
"450";"2016-04-28";4
"451";"2016-04-29";1
"452";"2016-04-30";4
"453";"2016-05-01";2
"454";"2016-05-02";1
"455";"2016-05-03";1
"456";"2016-05-04";3
"457";"2016-05-05";3
"458";"2016-05-06";1
"459";"2016-05-07";3
"460";"2016-05-08";1
"461";"2016-05-09";5
"462";"2016-05-10";1
"463";"2016-05-11";4
"464";"2016-05-13";1
"465";"2016-05-14";4
"466";"2016-05-15";1
"467";"2016-05-16";1
"468";"2016-05-17";1
"469";"2016-05-18";3
"470";"2016-05-19";5
"471";"2016-05-20";1
"472";"2016-05-21";3
"473";"2016-05-22";4
"474";"2016-05-23";1
"475";"2016-05-24";2
"476";"2016-05-25";2
"477";"2016-05-26";5
"478";"2016-05-27";1
"479";"2016-05-28";2
"480";"2016-05-29";4
"481";"2016-05-30";2
"482";"2016-05-31";1
"483";"2016-06-01";2
"484";"2016-06-02";2
"485";"2016-06-03";2
"486";"2016-06-04";3
"487";"2016-06-05";1
"488";"2016-06-06";2
"489";"2016-06-07";4
"490";"2016-06-08";1
"491";"2016-06-09";4
"492";"2016-06-10";4
"493";"2016-06-11";2
"494";"2016-06-12";3
"495";"2016-06-13";4
"496";"2016-06-14";4
"497";"2016-06-15";2
"498";"2016-06-16";4
"499";"2016-06-18";3
"500";"2016-06-19";1
"501";"2016-06-20";2
"502";"2016-06-21";3
"503";"2016-06-22";6
"504";"2016-06-23";2
"505";"2016-06-24";5
"506";"2016-06-25";3
"507";"2016-06-26";4
"508";"2016-06-27";5
"509";"2016-06-28";2
"510";"2016-06-29";4
"511";"2016-06-30";3
"512";"2016-07-01";3
"513";"2016-07-02";2
"514";"2016-07-03";3
"515";"2016-07-04";3
"516";"2016-07-05";4
"517";"2016-07-06";2
"518";"2016-07-07";3
"519";"2016-07-08";1
"520";"2016-07-09";1
"521";"2016-07-10";1
"522";"2016-07-11";5
"523";"2016-07-12";1
"524";"2016-07-13";2
"525";"2016-07-14";1
"526";"2016-07-15";1
"527";"2016-07-16";3
"528";"2016-07-17";4
"529";"2016-07-18";1
"530";"2016-07-20";1
"531";"2016-07-21";2
"532";"2016-07-22";1
"533";"2016-07-23";3
"534";"2016-07-24";2
"535";"2016-07-25";2
"536";"2016-07-26";2
"537";"2016-07-27";6
"538";"2016-07-28";6
"539";"2016-07-29";2
"540";"2016-07-31";3
"541";"2016-08-01";4
"542";"2016-08-02";5
"543";"2016-08-03";3
"544";"2016-08-05";3
"545";"2016-08-07";2
"546";"2016-08-08";5
"547";"2016-08-09";3
"548";"2016-08-11";3
"549";"2016-08-12";2
"550";"2016-08-13";4
"551";"2016-08-15";2
"552";"2016-08-16";7
"553";"2016-08-17";1
"554";"2016-08-18";7
"555";"2016-08-19";5
"556";"2016-08-20";1
"557";"2016-08-21";1
"558";"2016-08-22";1
"559";"2016-08-23";1
"560";"2016-08-24";3
"561";"2016-08-25";2
"562";"2016-08-26";1
"563";"2016-08-27";2
"564";"2016-08-28";1
"565";"2016-08-29";3
"566";"2016-08-30";3
"567";"2016-08-31";2
"568";"2016-09-01";4
"569";"2016-09-02";3
"570";"2016-09-03";3
"571";"2016-09-04";2
"572";"2016-09-05";2
"573";"2016-09-06";4
"574";"2016-09-07";3
"575";"2016-09-08";2
"576";"2016-09-09";3
"577";"2016-09-10";2
"578";"2016-09-11";1
"579";"2016-09-12";2
"580";"2016-09-14";1
"581";"2016-09-15";3
"582";"2016-09-16";3
"583";"2016-09-17";5
"584";"2016-09-18";1
"585";"2016-09-19";3
"586";"2016-09-20";6
"587";"2016-09-21";1
"588";"2016-09-23";3
"589";"2016-09-25";1
"590";"2016-09-26";4
"591";"2016-09-27";2
"592";"2016-09-28";2
"593";"2016-09-29";1
"594";"2016-09-30";6
"595";"2016-10-01";2
"596";"2016-10-02";2
"597";"2016-10-03";2
"598";"2016-10-04";3
"599";"2016-10-05";2
"600";"2016-10-07";5
"601";"2016-10-08";3
"602";"2016-10-09";2
"603";"2016-10-10";3
"604";"2016-10-11";2
"605";"2016-10-12";3
"606";"2016-10-13";2
"607";"2016-10-14";3
"608";"2016-10-16";2
"609";"2016-10-17";3
"610";"2016-10-18";4
"611";"2016-10-19";2
"612";"2016-10-20";1
"613";"2016-10-21";2
"614";"2016-10-22";1
"615";"2016-10-23";3
"616";"2016-10-24";1
"617";"2016-10-25";4
"618";"2016-10-26";2
"619";"2016-10-27";3
"620";"2016-10-28";3
"621";"2016-10-30";3
"622";"2016-10-31";3
"623";"2016-11-01";1
"624";"2016-11-02";2
"625";"2016-11-03";1
"626";"2016-11-04";2
"627";"2016-11-05";4
"628";"2016-11-06";6
"629";"2016-11-07";1
"630";"2016-11-08";4
"631";"2016-11-09";1
"632";"2016-11-10";2
"633";"2016-11-11";3
"634";"2016-11-12";2
"635";"2016-11-13";2
"636";"2016-11-15";2
"637";"2016-11-16";2
"638";"2016-11-18";4
"639";"2016-11-19";3
"640";"2016-11-20";2
"641";"2016-11-21";2
"642";"2016-11-22";4
"643";"2016-11-23";2
"644";"2016-11-25";3
"645";"2016-11-26";1
"646";"2016-11-27";4
"647";"2016-11-28";3
"648";"2016-11-29";4
"649";"2016-11-30";1
"650";"2016-12-01";3
"651";"2016-12-02";3
"652";"2016-12-04";2
"653";"2016-12-06";4
"654";"2016-12-07";4
"655";"2016-12-09";3
"656";"2016-12-10";2
"657";"2016-12-11";5
"658";"2016-12-12";3
"659";"2016-12-13";2
"660";"2016-12-15";1
"661";"2016-12-17";3
"662";"2016-12-18";3
"663";"2016-12-19";1
"664";"2016-12-20";1
"665";"2016-12-21";4
"666";"2016-12-22";1
"667";"2016-12-23";1
"668";"2016-12-24";3
"669";"2016-12-25";3
"670";"2016-12-27";3
"671";"2016-12-28";1
"672";"2016-12-30";1
"673";"2016-12-31";3
"674";"2017-01-01";6
"675";"2017-01-03";2
"676";"2017-01-04";4
"677";"2017-01-05";2
"678";"2017-01-06";2
"679";"2017-01-07";6
"680";"2017-01-08";1
"681";"2017-01-09";2
"682";"2017-01-10";2
"683";"2017-01-11";3
"684";"2017-01-12";3
"685";"2017-01-13";1
"686";"2017-01-14";2
"687";"2017-01-15";4
"688";"2017-01-16";3
"689";"2017-01-17";2
"690";"2017-01-18";6
"691";"2017-01-19";3
"692";"2017-01-20";1
"693";"2017-01-21";2
"694";"2017-01-22";3
"695";"2017-01-23";5
"696";"2017-01-24";8
"697";"2017-01-25";3
"698";"2017-01-26";4
"699";"2017-01-27";1
"700";"2017-01-28";4
"701";"2017-01-29";1
"702";"2017-01-30";4
"703";"2017-01-31";1
"704";"2017-02-01";2
"705";"2017-02-02";3
"706";"2017-02-03";7
"707";"2017-02-04";3
"708";"2017-02-05";3
"709";"2017-02-06";3
"710";"2017-02-07";5
"711";"2017-02-08";3
"712";"2017-02-09";3
"713";"2017-02-10";8
"714";"2017-02-11";4
"715";"2017-02-12";2
"716";"2017-02-13";3
"717";"2017-02-14";3
"718";"2017-02-15";3
"719";"2017-02-16";4
"720";"2017-02-17";4
"721";"2017-02-18";2
"722";"2017-02-19";4
"723";"2017-02-20";2
"724";"2017-02-21";5
"725";"2017-02-22";3
"726";"2017-02-23";4
"727";"2017-02-24";3
"728";"2017-02-25";2
"729";"2017-02-26";4
"730";"2017-02-27";2
"731";"2017-02-28";3
"732";"2017-03-01";1
"733";"2017-03-02";5
"734";"2017-03-03";2
"735";"2017-03-04";4
"736";"2017-03-07";2
"737";"2017-03-08";2
"738";"2017-03-09";2
"739";"2017-03-10";1
"740";"2017-03-11";2
"741";"2017-03-12";2
"742";"2017-03-13";3
"743";"2017-03-14";5
"744";"2017-03-15";2
"745";"2017-03-16";5
"746";"2017-03-17";3
"747";"2017-03-18";3
"748";"2017-03-19";4
"749";"2017-03-22";3
"750";"2017-03-23";3
"751";"2017-03-24";3
"752";"2017-03-25";1
"753";"2017-03-26";4
"754";"2017-03-27";3
"755";"2017-03-28";2
"756";"2017-03-29";6
"757";"2017-03-30";1
"758";"2017-04-01";2
"759";"2017-04-03";1
"760";"2017-04-04";3
"761";"2017-04-05";2
"762";"2017-04-06";5
"763";"2017-04-07";1
"764";"2017-04-08";1
"765";"2017-04-09";1
"766";"2017-04-10";2
"767";"2017-04-12";1
"768";"2017-04-13";3
"769";"2017-04-14";2
"770";"2017-04-15";4
"771";"2017-04-16";1
"772";"2017-04-17";1
"773";"2017-04-18";1
"774";"2017-04-19";1
"775";"2017-04-20";6
"776";"2017-04-21";1
"777";"2017-04-22";3
"778";"2017-04-23";1
"779";"2017-04-24";4
"780";"2017-04-25";4
"781";"2017-04-26";3
"782";"2017-04-27";2
"783";"2017-04-28";2
"784";"2017-04-29";4
"785";"2017-04-30";3
"786";"2017-05-01";1
"787";"2017-05-02";2
"788";"2017-05-03";4
"789";"2017-05-04";1
"790";"2017-05-06";1
"791";"2017-05-07";4
"792";"2017-05-08";2
"793";"2017-05-09";6
"794";"2017-05-10";3
"795";"2017-05-11";1
"796";"2017-05-12";4
"797";"2017-05-13";2
"798";"2017-05-14";2
"799";"2017-05-15";5
"800";"2017-05-16";4
"801";"2017-05-17";1
"802";"2017-05-20";3
"803";"2017-05-21";4
"804";"2017-05-22";1
"805";"2017-05-23";4
"806";"2017-05-24";2
"807";"2017-05-25";1
"808";"2017-05-26";3
"809";"2017-05-27";1
"810";"2017-05-28";1
"811";"2017-05-29";2
"812";"2017-05-30";1
"813";"2017-05-31";2
"814";"2017-06-01";1
"815";"2017-06-02";6
"816";"2017-06-03";1
"817";"2017-06-04";2
"818";"2017-06-05";4
"819";"2017-06-06";1
"820";"2017-06-07";4
"821";"2017-06-08";5
"822";"2017-06-09";3
"823";"2017-06-10";3
"824";"2017-06-11";1
"825";"2017-06-12";4
"826";"2017-06-13";4
"827";"2017-06-14";3
"828";"2017-06-15";1
"829";"2017-06-16";5
"830";"2017-06-17";2
"831";"2017-06-18";2
"832";"2017-06-19";2
"833";"2017-06-20";5
"834";"2017-06-21";2
"835";"2017-06-22";1
"836";"2017-06-23";2
"837";"2017-06-24";4
"838";"2017-06-25";3
"839";"2017-06-26";1
"840";"2017-06-27";1
"841";"2017-06-28";1
"842";"2017-06-29";4
"843";"2017-06-30";2
"844";"2017-07-01";3
"845";"2017-07-02";1
"846";"2017-07-03";4
"847";"2017-07-04";7
"848";"2017-07-05";6
"849";"2017-07-06";2
"850";"2017-07-07";3
"851";"2017-07-08";3
"852";"2017-07-09";4
"853";"2017-07-10";2
"854";"2017-07-11";5
"855";"2017-07-12";3
"856";"2017-07-13";3
"857";"2017-07-15";4
"858";"2017-07-17";4
"859";"2017-07-18";2
"860";"2017-07-19";3
"861";"2017-07-20";2
"862";"2017-07-21";2
"863";"2017-07-23";4
"864";"2017-07-24";1
"865";"2017-07-25";4
"866";"2017-07-26";4
"867";"2017-07-27";6
"868";"2017-07-28";3
"869";"2017-07-29";2
"870";"2017-07-31";4
"871";"2017-08-01";5
"872";"2017-08-02";4
"873";"2017-08-03";2
"874";"2017-08-04";6
"875";"2017-08-05";2
"876";"2017-08-06";2
"877";"2017-08-07";3
"878";"2017-08-08";2
"879";"2017-08-09";1
"880";"2017-08-10";2
"881";"2017-08-11";1
"882";"2017-08-12";1
"883";"2017-08-13";5
"884";"2017-08-14";2
"885";"2017-08-15";1
"886";"2017-08-16";2
"887";"2017-08-17";2
"888";"2017-08-18";2
"889";"2017-08-19";1
"890";"2017-08-20";2
"891";"2017-08-21";5
"892";"2017-08-22";5
"893";"2017-08-23";1
"894";"2017-08-24";3
"895";"2017-08-25";3
"896";"2017-08-26";1
"897";"2017-08-27";3
"898";"2017-08-28";2
"899";"2017-08-29";3
"900";"2017-08-30";2
"901";"2017-08-31";2
"902";"2017-09-01";3
"903";"2017-09-03";4
"904";"2017-09-04";2
"905";"2017-09-05";1
"906";"2017-09-06";3
"907";"2017-09-07";1
"908";"2017-09-08";2
"909";"2017-09-09";1
"910";"2017-09-10";5
"911";"2017-09-11";3
"912";"2017-09-13";1
"913";"2017-09-14";1
"914";"2017-09-15";3
"915";"2017-09-16";1
"916";"2017-09-17";3
"917";"2017-09-18";1
"918";"2017-09-19";4
"919";"2017-09-20";3
"920";"2017-09-21";4
"921";"2017-09-22";6
"922";"2017-09-24";2
"923";"2017-09-25";2
"924";"2017-09-26";3
"925";"2017-09-27";3
"926";"2017-09-28";2
"927";"2017-09-30";2
"928";"2017-10-01";6
"929";"2017-10-02";2
"930";"2017-10-03";1
"931";"2017-10-04";4
"932";"2017-10-05";5
"933";"2017-10-06";5
"934";"2017-10-07";1
"935";"2017-10-08";6
"936";"2017-10-11";3
"937";"2017-10-12";2
"938";"2017-10-13";2
"939";"2017-10-14";1
"940";"2017-10-16";5
"941";"2017-10-17";1
"942";"2017-10-18";1
"943";"2017-10-19";4
"944";"2017-10-20";2
"945";"2017-10-21";2
"946";"2017-10-22";4
"947";"2017-10-23";3
"948";"2017-10-24";3
"949";"2017-10-25";2
"950";"2017-10-26";2
"951";"2017-10-27";1
"952";"2017-10-28";3
"953";"2017-10-29";4
"954";"2017-10-30";1
"955";"2017-10-31";5
"956";"2017-11-01";2
"957";"2017-11-02";2
"958";"2017-11-03";2
"959";"2017-11-04";6
"960";"2017-11-05";3
"961";"2017-11-06";2
"962";"2017-11-07";2
"963";"2017-11-08";4
"964";"2017-11-09";5
"965";"2017-11-10";6
"966";"2017-11-11";3
"967";"2017-11-12";1
"968";"2017-11-13";2
"969";"2017-11-14";1
"970";"2017-11-15";5
"971";"2017-11-16";1
"972";"2017-11-17";5
"973";"2017-11-18";3
"974";"2017-11-19";2
"975";"2017-11-20";1
"976";"2017-11-23";5
"977";"2017-11-24";2
"978";"2017-11-25";1
"979";"2017-11-26";3
"980";"2017-11-27";1
"981";"2017-11-28";3
"982";"2017-11-29";1
"983";"2017-11-30";2
"984";"2017-12-01";2
"985";"2017-12-02";2
"986";"2017-12-03";1
"987";"2017-12-04";1
"988";"2017-12-05";2
"989";"2017-12-06";2
"990";"2017-12-07";4
"991";"2017-12-08";1
"992";"2017-12-09";2
"993";"2017-12-10";2
"994";"2017-12-11";1
"995";"2017-12-14";1
"996";"2017-12-15";1
"997";"2017-12-17";1
"998";"2017-12-18";1
"999";"2017-12-20";1
"1000";"2017-12-21";2
"1001";"2017-12-22";1
"1002";"2017-12-24";2
"1003";"2017-12-26";3
"1004";"2017-12-27";3
"1005";"2017-12-28";1
"1006";"2017-12-30";2
"1007";"2018-01-01";3
"1008";"2018-01-02";3
"1009";"2018-01-03";1
"1010";"2018-01-04";2
"1011";"2018-01-05";3
"1012";"2018-01-06";9
"1013";"2018-01-07";5
"1014";"2018-01-08";4
"1015";"2018-01-09";1
"1016";"2018-01-10";1
"1017";"2018-01-11";3
"1018";"2018-01-12";6
"1019";"2018-01-13";1
"1020";"2018-01-14";1
"1021";"2018-01-15";1
"1022";"2018-01-16";4
"1023";"2018-01-17";6
"1024";"2018-01-18";1
"1025";"2018-01-19";1
"1026";"2018-01-20";5
"1027";"2018-01-21";2
"1028";"2018-01-22";6
"1029";"2018-01-23";4
"1030";"2018-01-24";2
